ICAO,NAME,ST,LAT,LON
PAKW,KLAWOCK,AK,55.58,-133.08
PALH,LAKE HOOD_SEAPLANE,AK,61.18,-149.97
PALJ,PORT ALSWORTH,AK,60.2,-154.3
PALU,CAPE LISBURNE AFS,AK,68.88,-166.13
PALV,BIG RIVER LAKE,AK,60.82,-152.3
PAMC,MCGRATH,AK,62.96,-155.61
PAMD,MIDDLETON,AK,59.43,-146.33
PAMH,MINCHUMINA,AK,63.88,-152.28
PAMM,METLAKATLA,AK,55.08,-131.35
PAMR,MERRILL FLD ARPT,AK,61.22,-149.83
PAMY,MEKORYUK,AK,60.37,-166.27
PANC,ANCHORAGE,AK,61.17,-150.03
PANI,ANIAK,AK,61.58,-159.53
PANN,NENANA,AK,64.55,-149.08
PANT,ANNETTE ISLAND,AK,55.03,-131.57
PANV,ANNIK AIRPORT,AK,62.65,-160.18
PAOH,HOONAH AP,AK,58.1,-135.41
PAOM,NOME,AK,64.51,-165.44
PAOR,NORTHWAY,AK,62.95,-141.93
PAOT,KOTZEBUE,AK,66.87,-162.63
PAPB,ST. GEORGE ISLAND,AK,56.58,-169.67
PAPG,PETERSBURG,AK,56.82,-132.95
PAPH,PORT HEIDEN,AK,56.95,-158.62
PAPO,POINT_HOPE,AK,68.35,-166.8
PAQT,NUIQSUT,AK,70.22,-150.98
PARC,ARCTIC VILLAGE,AK,68.12,-145.57
PASA,SAVOONGA ARPT,AK,63.68,-170.5
PASC,DEADHORSE,AK,70.2,-148.47
PASD,SAND POINT,AK,55.32,-160.52
PASH,SHISHMAREF,AK,66.27,-166.05
PASI,SITKA,AK,57.07,-135.35
PASK,SELANIK,AK,66.62,-160
PASL,SLEETMUTE,AK,61.72,-157.15
PASM,SAINT MARY'S,AK,62.07,-163.3
PASN,ST. PAUL ISLAND,AK,57.15,-170.22
PASO,SELDOVIA,AK,59.45,-151.7
PASP,SHEEP MOUNTAIN,AK,61.82,-147.51
PASV,SPARREVOHN,AK,61.1,-155.57
PASX,SOLDOTNA,AK,60.48,-151.03
PASY,SHEMYA AFB,AK,52.72,174.1
PATA,TANANA,AK,65.17,-152.1
PATC,TIN CITY AFS,AK,65.57,-167.92
PATG,TOGIAK VILLAGE,AK,59.05,-160.4
PATK,TALKEETNA,AK,62.3,-150.1
PATL,TATALINA AFS,AK,62.9,-155.97
PATO,PORTAGE GLACIER,AK,60.79,-148.83
PAUN,UNALAKLEET,AK,63.88,-160.8
PAVD,VALDEZ    SAWRS,AK,61.13,-146.25
PAVL,KIVALINA,AK,67.73,-164.55
PAWD,SEWARD,AK,60.12,-149.45
PAWG,WRANGELL,AK,56.47,-132.38
PAWI,WAINWRIGHT,AK,70.63,-160
PAWN,NOATAK,AK,60.7,-161.97
PAWR,WHITTIER,AK,60.77,-148.68
PAWS,WASILLA,AK,58.7,-157.02
PAYA,YAKUTAT,AK,59.52,-139.67
PAZK,EUREKA,AK,61.93,-147.17
PFYU,FT. YUKON,AK,66.55,-145.2
PPIZ,POINT LAY,AK,69.73,-163.02
K3A1,FOLSOM FIELD ARPT,AL,34.27,-86.86
K4A9,ISBELL FIELD ARPT,AL,34.47,-85.72
K79J,ANDALUSIA/OPP,AL,31.32,-86.4
KALX,ALEXANDER CITY,AL,32.91,-85.96
KANB,ANNISTON,AL,33.59,-85.85
KAUO,AUBURN,AL,32.58,-85.5
KBFM,BROOKLEY ARPT,AL,30.63,-88.07
KBHM,BIRMINGHAM,AL,33.57,-86.75
KDCU,DECATUR,AL,34.65,-86.94
KDHN,DOTHAN,AL,31.32,-85.45
KEET,CALERA,AL,33.18,-86.78
KGAD,GADSDEN,AL,33.97,-86.08
KGZH,EVERGREEN,AL,31.42,-87.05
KHSV,HUNTSVILLE,AL,34.65,-86.77
KHUA,REDSTONE ARSENAL,AL,34.68,-86.68
KMDQ,MADISON CNTY EXEC,AL,34.86,-86.56
KMGM,MONTGOMERY,AL,32.3,-86.4
KMOB,MOBILE,AL,30.68,-88.25
KMSL,MUSCLE SHOALS,AL,34.75,-87.62
KMXF,MAXWELL AFB,AL,32.38,-86.37
KOZR,FT. RUCKER,AL,31.27,-85.72
KTCL,TUSCALOOSA,AL,33.23,-87.62
KTOI,TROY,AL,31.86,-86.01
TNCM,ST.MAARTEN/P.JULIAN,AN,18.05,-63.12
KARG,WALNUT RIDGE,AR,36.13,-90.92
KASG,SPRINGDALE MUNI AP,AR,36.17,-94.12
KAWM,WEST MEMPHIS MUNI,AR,35.14,-90.23
KBPK,BAXTER CO. ARPT.,AR,36.37,-92.46
KBVX,BATESVILLE,AR,35.73,-91.65
KDEQ,DE QUEEN,AR,34.04,-94.4
KELD,EL DORADO,AR,33.22,-92.8
KFLP,FLIPPIN,AR,36.3,-92.47
KFSM,FORT SMITH,AR,35.33,-94.37
KFYV,FAYETTEVILLE,AR,36,-94.17
KHKA,BLYTHEVILLE,AR,35.94,-89.83
KHOT,HOT SPRINGS,AR,34.48,-93.1
KHRO,HARRISON,AR,36.27,-93.15
KJBR,JONESBORO,AR,35.83,-90.65
KLIT,LITTLE ROCK,AR,34.73,-92.23
KLLQ,MONTICELLO,AR,33.63,-91.75
KLRF,LITTLE ROCK AFB,AR,34.92,-92.15
KMEZ,MENA INTERMOUNTAIN,AR,34.55,-94.2
KMWT,MOUNT IDA,AR,34.55,-93.58
KPBF,PINE BLUFF,AR,34.17,-91.93
KROG,ROGERS,AR,36.37,-94.1
KRUE,RUSSELLVILLE,AR,35.25,-93.1
KSGT,STUTTGART,AR,34.6,-91.57
KSLG,SILOAM SPRINGS,AR,36.2,-94.48
KSRC,SEARCY MUNI AIRPORT,AR,35.21,-91.74
KTXK,TEXARKANA,AR,33.45,-94
KVBT,BENTONVILLE,AR,36.35,-94.22
KXNA,NORTHWEST AR. ARPT.,AR,36.28,-94.31
KCGZ,CASA GRANDE,AZ,32.9,-111.7
KCHD,CHANDLER,AZ,33.27,-111.82
KDMA,DAVIS-MONTHAN AFB,AZ,32.17,-110.88
KDUG,DOUGLAS,AZ,31.45,-109.6
KDVT,DEER VLY/PHOENIX,AZ,33.69,-112.07
KFHU,FT HUACHUCA,AZ,31.58,-110.33
KFLG,FLAGSTAFF,AZ,35.13,-111.67
KGBN,GILA BEND,AZ,32.93,-112.7
KGCN,GRAND CANYON,AZ,35.95,-112.15
KGEU,GLENDALE MUNI AP,AZ,33.53,-112.3
KGYR,GOODYEAR,AZ,33.42,-112.38
KIFP,BULLHEAD CITY,AZ,35.16,-114.56
KIGM,KINGMAN,AZ,35.27,-113.95
KINW,WINSLOW,AZ,35.02,-110.73
KIWA,CHANDLER,AZ,33.3,-111.67
KLUF,LUKE AFB,AZ,33.55,-112.37
KNYL,YUMA MCAS,AZ,32.65,-114.62
KOLS,NOGALES INTERNATNL,AZ,31.42,-110.85
KPGA,PAGE,AZ,36.93,-111.45
KPHX,PHOENIX,AZ,33.43,-112.02
KPRC,PRESCOTT,AZ,34.65,-112.43
KRQE,WINDOW ROCK,AZ,35.65,-109.07
KSAD,SAFFORD,AZ,32.85,-109.63
KSDL,SCOTTSDALE,AZ,33.62,-111.92
KSJN,ST. JOHNS AIR PARK,AZ,34.52,-109.38
KSOW,SHOW LOW,AZ,34.27,-110
KTUS,TUCSON,AZ,32.12,-110.93
K3A6,NEWHALL,CA,34.37,-118.57
K9L2,EDWARDS AFB,CA,34.98,-117.86
KAAT,ALTURAS,CA,41.49,-120.56
KACV,ARCATA,CA,40.98,-124.1
KAPC,NAPA,CA,38.22,-122.28
KAUN,AUBURN MUNI AP,CA,38.95,-121.08
KAVX,AVALON,CA,33.4,-118.41
KBAB,BEALE AFB,CA,39.13,-121.43
KBFL,BAKERSFIELD,CA,35.42,-119.05
KBIH,BISHOP,CA,37.37,-118.37
KBLH,BLYTHE,CA,33.62,-114.72
KBLU,BLUE CANYON,CA,39.28,-120.7
KBUR,BURBANK,CA,34.2,-118.37
KCCR,CONCORD,CA,37.98,-122.05
KCEC,CRESCENT CITY,CA,41.78,-124.23
KCMA,CAMARILLO,CA,34.21,-119.09
KCNO,CHINO,CA,33.97,-117.63
KCQT,USC CAMPUS,CA,34.03,-118.29
KCRQ,CARLSBAD,CA,33.13,-117.28
KCZZ,CAMPO,CA,32.62,-116.47
KDAG,DAGGETT,CA,34.87,-116.78
KEDW,EDWARDS AFB,CA,34.9,-117.87
KEED,NEEDLES,CA,34.77,-114.62
KFAT,FRESNO,CA,36.77,-119.72
KFUL,FULLERTON,CA,33.87,-117.97
KHHR,HAWTHORNE,CA,33.92,-118.33
KHJO,HANFORD,CA,36.32,-119.62
KHWD,HAYWARD,CA,37.65,-122.12
KIPL,IMPERIAL,CA,32.83,-115.57
KLAX,LOS ANGELES,CA,33.93,-118.4
KLGB,LONG BEACH,CA,33.82,-118.15
KLPC,LOMPOC,CA,34.67,-120.47
KLVK,LIVERMORE,CA,37.7,-121.82
KMAE,MADERA,CA,36.98,-120.12
KMCE,MERCED,CA,37.28,-120.6
KMHR,MATHER AFB,CA,38.55,-121.3
KMHS,MT. SHASTA,CA,41.32,-122.32
KMOD,MODESTO,CA,37.63,-120.95
KMRY,MONTEREY,CA,36.58,-121.85
KMYF,SAN DIEGO,CA,32.82,-117.15
KMYV,MARYSVILLE,CA,39.1,-121.57
KNFG,CAMP PENDLETON,CA,33.3,-117.35
KNID,CHINA LAKE NAS,CA,35.68,-117.68
KNJK,EL CENTRO,CA,32.82,-115.68
KNKX,MIRAMAR NAS,CA,32.87,-117.15
KNLC,LEMOORE NAS,CA,36.33,-119.95
KNRS,IMPERIAL BEACH NAS,CA,32.57,-117.12
KNTD,POINT MUGU NAS,CA,34.12,-119.12
KNUQ,MOUNTAIN VIEW NAS,CA,37.42,-122.05
KNXP,29 PALMS,CA,34.28,-116.17
KNZY,NORTH ISLAND NAS,CA,32.7,-117.2
KOAK,OAKLAND,CA,37.72,-122.22
KOKB,OCEANSIDE,CA,33.22,-117.35
KONT,ONTARIO,CA,34.05,-117.62
KOVE,OROVILLE,CA,39.49,-121.62
KOXR,OXNARD,CA,34.2,-119.2
KPAO,PALO ALTO,CA,37.47,-122.12
KPMD,PALMDALE,CA,34.63,-118.08
KPRB,PASO ROBLES,CA,35.67,-120.63
KPSP,PALM SPRINGS,CA,33.83,-116.5
KPTV,PORTERVILLE,CA,36.03,-119.07
KRAL,RIVERSIDE,CA,33.95,-117.45
KRBL,RED BLUFF,CA,40.15,-122.25
KRDD,REDDING,CA,40.5,-122.3
KRHV,SAN JOSE,CA,37.33,-121.82
KRIV,MARCH AFB,CA,33.9,-117.25
KRNM,RAMONA,CA,33.04,-116.92
KSAC,SACRAMENTO,CA,38.52,-121.5
KSAN,SAN DIEGO,CA,32.73,-117.17
KSBA,SANTA BARBARA,CA,34.43,-119.83
KSBP,SAN LUIS OBISPO,CA,35.23,-120.63
KSCK,STOCKTON,CA,37.9,-121.25
KSDB,SANDBURG,CA,34.75,-118.73
KSDM,SAN DIEGO/BROWN,CA,32.57,-116.98
KSFO,SAN FRANCISCO,CA,37.62,-122.38
KSIY,MONTAGUE/SSK,CA,41.78,-122.47
KSJC,SAN JOSE,CA,37.36,-121.92
KSMF,SACRAMENTO MET AP,CA,38.7,-121.6
KSMO,SANTA MONICA,CA,34.02,-118.45
KSMX,SANTA MARIA,CA,34.9,-120.45
KSNA,SANTA ANA,CA,33.67,-117.88
KSNS,SALINAS,CA,36.67,-121.6
KSQL,SAN CARLOS,CA,37.52,-122.25
KSTS,SANTA ROSA,CA,38.5,-122.82
KSUU,TRAVIS AFB,CA,38.27,-121.93
KTOA,TORRANCE,CA,33.8,-118.33
KTRK,TRUCKEE,CA,39.32,-120.13
KTRM,THERMAL,CA,33.63,-116.17
KTVL,SOUTH LAKE TAHOE,CA,38.9,-120
KUKI,UKIAH,CA,39.13,-123.2
KVBG,VANDENBERG AFB,CA,34.72,-120.57
KVCB,VACAVILLE,CA,38.38,-121.96
KVCV,VICTORVILLE,CA,34.6,-117.38
KVIS,VISALIA,CA,36.32,-119.4
KVNY,VAN NUYS,CA,34.22,-118.48
KWJF,LANCASTER,CA,34.73,-118.22
KWVI,WATSONVILLE,CA,36.93,-121.78
MUGM,GUANTANAMO BAY,CI,19.9,-75.13
K04V,SAGUACHE MUNI ARPT,CO,38.1,-106.17
K20V,KREMMLING/MCELROY,CO,40.05,-106.37
K4BM,WILKERSON PASS,CO,39.05,-105.51
K7BM,COTTONWOOD PASS,CO,38.78,-106.22
KAFF,USAF ACADEMY,CO,38.97,-104.82
KAKO,AKRON,CO,40.17,-103.22
KALS,ALAMOSA,CO,37.45,-105.87
KAPA,ENGLEWOOD,CO,39.56,-104.85
KASE,ASPEN,CO,39.22,-106.87
KBJC,BROOMFIELD,CO,39.9,-105.12
KBKF,BUCKLEY ANGB ARPT,CO,39.7,-104.75
KCAG,CRAIG,CO,40.5,-107.53
KCCU,COPPER MTN/RED CLFF,CO,39.47,-106.15
KCEZ,CORTEZ,CO,37.3,-108.63
KCOS,COLORADO SPRINGS,CO,38.82,-104.72
KCPW,PAGOSA SPRINGS,CO,37.45,-106.8
KDEN,DENVER INTL.,CO,39.87,-104.67
KDRO,DURANGO,CO,37.15,-107.75
KEEO,MEEKER,CO,40.05,-107.88
KEGE,EAGLE,CO,39.65,-106.92
KFCS,FORT CARSON,CO,38.68,-104.77
KFNL,FT. COLLINS,CO,40.45,-105.02
KGJT,GRAND JUNCTION,CO,39.12,-108.53
KGUC,GUNNISON,CO,38.55,-106.92
KGXY,GREELEY,CO,40.2,-104.63
KHDN,HAYDEN,CO,40.5,-107.25
KITR,BURLINGTON,CO,39.25,-102.28
KLAA,LAMAR,CO,38.07,-102.68
KLHX,LA JUNTA,CO,38.05,-103.52
KLIC,LIMON,CO,39.18,-103.7
KLXV,LEADVILLE,CO,39.25,-106.3
KMNH,ELBERT MTN/MONUMENT,CO,39.22,-104.63
KMTJ,MONTROSE,CO,38.5,-107.88
KMYP,SALIDA MOUNTAIN,CO,38.48,-106.32
KPUB,PUEBLO,CO,38.28,-104.52
KRIL,RIFLE/GARFIELD RGNL,CO,39.53,-107.72
KSPD,SPRINGFIELD,CO,37.28,-102.61
KTAD,TRINIDAD,CO,37.25,-104.33
KTEX,TELLURIDE REGIONAL,CO,37.95,-107.9
KVTP,LA VETA MOUNTAIN,CO,37.5,-105.17
KBDL,HARTFORD,CT,41.93,-72.68
KBDR,BRIDGEPORT,CT,41.17,-73.13
KDXR,DANBURY,CT,41.37,-73.48
KGON,GROTON,CT,41.33,-72.04
KHFD,HARTFORD-BRAINARD,CT,41.73,-72.65
KHVN,NEW HAVEN,CT,41.26,-72.88
KIJD,WILLIMANTIC,CT,41.75,-72.18
KMMK,MERIDEN,CT,41.51,-72.83
KOXC,OXFORD,CT,41.48,-73.13
KDCA,WASHINGTON,DC,38.85,-77.03
KDOV,DOVER AFB,DE,39.13,-75.47
KGED,GEORGETOWN,DE,38.69,-75.36
KILG,WILMINGTON,DE,39.67,-75.6
K40J,PERRY FOLEY ARPT.,FL,30.08,-83.57
KAAF,APALACHICOLA,FL,29.73,-85.02
KAPF,NAPLES,FL,26.15,-81.77
KBCT,BOCA RATON AP,FL,26.38,-80.11
KBKV,BROOKESVILLE,FL,28.47,-82.45
KCEW,CRESTVIEW,FL,30.78,-86.52
KCOF,PATRICK AFB,FL,28.23,-80.6
KCRG,CRAIG MUNI ARPT,FL,30.33,-81.52
KCTY,CROSS CITY,FL,29.62,-83.1
KDAB,DAYTONA BEACH,FL,29.18,-81.05
KDTS,DESTIN,FL,30.4,-86.47
KEYW,KEY WEST,FL,24.55,-81.75
KFLL,FORT LAUDERDALE,FL,26.07,-80.15
KFMY,FT. MYERS,FL,26.58,-81.86
KFPR,FORT PIERCE,FL,27.5,-80.37
KFXE,FORT LAUDERDALE,FL,26.2,-80.18
KGIF,WINTER HAVEN,FL,28.07,-81.75
KGNV,GAINSVILLE,FL,29.68,-82.27
KHRT,HURLBURT FLD,FL,30.42,-86.68
KHST,HOMESTEAD AFB,FL,25.48,-80.38
KHWO,NORTH PERRY ARPT.,FL,26,-80.24
KISM,KISSIMMEE,FL,28.29,-81.44
KJAX,JACKSONVILLE,FL,30.5,-81.7
KLAL,LAKELAND ARPT,FL,28,-82.05
KLEE,LEESBURG,FL,28.82,-81.81
KMAI,MARIANNA,FL,30.83,-85.18
KMCF,MAC DILL AFB,FL,27.85,-82.5
KMCO,ORLANDO INTL,FL,28.43,-81.32
KMIA,MIAMI,FL,25.82,-80.28
KMLB,MELBOURNE,FL,28.1,-80.63
KMTH,MARATHON KEY ARPT,FL,24.72,-81.08
KNIP,JACKSONVILLE NAS,FL,30.23,-81.68
KNPA,PENSACOLA NAS,FL,30.35,-87.32
KNRB,MAYPORT NAS,FL,30.4,-81.42
KNSE,MILTON NAS,FL,30.72,-87.02
KOCF,OCALA_MUNI,FL,29.17,-82.22
KOPF,OPA LOCKA ARPT.,FL,25.9,-80.28
KORL,ORLANDO HERN.APRT,FL,28.55,-81.34
KPAM,TYNDALL AFB,FL,30.07,-85.58
KPBI,W PALM BEACH,FL,26.68,-80.12
KPFN,PANAMA CITY,FL,30.2,-85.68
KPGD,PUNTA GORDA,FL,26.92,-82
KPIE,ST PETERSBURG,FL,27.92,-82.68
KPMP,POMPANO BEACH,FL,26.24,-80.11
KPNS,PENSACOLA,FL,30.47,-87.2
KRSW,FT MYERS SW APT,FL,26.53,-81.75
KSFB,SANFORD,FL,28.78,-81.25
KSGJ,T. AUGUSTINE,FL,29.97,-81.33
KSPG,SAINT_PETERSBURG,FL,27.77,-82.63
KSRQ,SARASOTA-BRADENTON,FL,27.4,-82.55
KSUA,STUART/WITHAM FIELD,FL,27.18,-80.22
KTLH,TALLAHASSEE,FL,30.38,-84.37
KTMB,TAMIAMI ARPT,FL,25.65,-80.43
KTPA,TAMPA,FL,27.97,-82.53
KTTS,NASA SHTTLE FCLTY,FL,28.62,-80.7
KVDF,TAMPA/VANDENBURG,FL,28.01,-82.35
KVPS,EGLIN AFB,FL,30.48,-86.52
KVQQ,JACKSONVILLE NAS,FL,30.22,-81.88
KVRB,VERO BEACH,FL,27.65,-80.42
KVVG,THE VILLAGES,FL,28.96,-81.97
K3J7,GREENSBORO/GREENE,GA,33.6,-83.14
K47A,CHEROKEE CNTY ARPT,GA,34.31,-84.42
KABY,ALBANY,GA,31.53,-84.18
KAGS,AUGUSTA,GA,33.37,-81.97
KAHN,ATHENS,GA,33.95,-83.32
KAMG,ALMA,GA,31.53,-82.52
KATL,ATLANTA,GA,33.65,-84.43
KAYS,WAYCROSS,GA,31.25,-82.4
KBGE,BAINBRIDGE/DECATUR,GA,30.97,-84.64
KBIJ,BLAKELY/EARLY CO,GA,31.4,-84.89
KBQK,BRUNSWICK JETPORT,GA,31.25,-81.47
KCCO,NEWNAN-COWETA ARPT.,GA,33.31,-84.77
KCSG,COLUMBUS,GA,32.52,-84.93
KDBN,DUBLIN/BUD BARRON,GA,32.56,-82.99
KDNL,AUGUSTA,GA,33.47,-82.03
KDNN,DALTON,GA,34.72,-84.87
KDQH,DOUGLAS MUNI ARPT,GA,31.48,-82.86
KFFC,PEACHTREE,GA,33.35,-84.57
KFTY,FULTON CO. ARPT,GA,33.78,-84.52
KGVL,GAINESVILLE,GA,34.27,-83.83
KHQU,THOMSON/MCDUFFIE,GA,33.53,-82.52
KJYL,SYLVANIA/PLANTATION,GA,32.65,-81.6
KLGC,LA GRANGE,GA,33.02,-85.07
KLHW,FORT STEWART,GA,31.88,-81.57
KLSF,LAWSON AFB,GA,32.33,-85
KLZU,LAWRENCEVILLE,GA,33.98,-83.96
KMCN,MACON,GA,32.7,-83.65
KMGE,DOBBINS AFB,GA,33.92,-84.52
KMGR,MOULTRIE,GA,31.08,-83.8
KOPN,THOMASTON,GA,32.95,-84.27
KPDK,DEKALB-PEACHTREE,GA,33.88,-84.3
KRMG,ROME,GA,34.35,-85.17
KRYY,MARIETTA/COBB CO,GA,34.01,-84.6
KSAV,SAVANNAH,GA,32.13,-81.2
KSSI,BRUNSWICK,GA,31.15,-81.38
KSVN,HUNTER AFB,GA,32.02,-81.13
KTBR,STATESBORO,GA,32.48,-81.74
KVAD,MOODY AFB,GA,30.97,-83.2
KVDI,VIDALIA,GA,32.19,-82.37
KVLD,VALDOSTA,GA,30.78,-83.28
KVPC,CARTERSVILLE,GA,34.13,-84.85
KWDR,WINDER,GA,33.98,-83.74
KWRB,ROBINS AFB,GA,32.63,-83.6
PHHI,WHEELER AFB,HI,21.48,-158.03
PHJH,LAHAINA/WEST MAUI,HI,21.02,-156.63
PHJR,BARBERS POINT NAS,HI,21.32,-158.07
PHKO,KONA/KEAHOLE,HI,19.65,-156
PHLI,LIHUE,HI,21.98,-159.35
PHMK,MOLOKAI,HI,21.15,-157.1
PHNG,KANEOHE BAY MCAS,HI,21.43,-157.77
PHNL,HONOLULU,HI,21.35,-157.93
PHNY,LANAI/LANI CITY,HI,20.8,-156.95
PHOG,KAHULUI/MAUI,HI,20.9,-156.43
PHSF,BRADSHAW AAF,HI,19.78,-155.55
PHTO,HILO/GEN.LYMAN FL,HI,19.72,-155.07
KADU,AUDUBORN,IA,41.7,-94.92
KAIO,ATLANTIC,IA,41.4,-95.05
KALO,WATERLOO,IA,42.55,-92.4
KAMW,AMES_MUNI ARPT,IA,41.99,-93.62
KAWG,WASHINGTON,IA,41.28,-91.67
KAXA,ALGONA,IA,43.08,-94.27
KBNW,BOONE_MUNI,IA,42.05,-93.85
KBRL,BURLINGTON,IA,40.78,-91.12
KCAV,CLARION,IA,42.75,-93.77
KCBF,COUNCIL BLUFFS,IA,41.27,-95.77
KCCY,CHARLES CITY,IA,43.07,-92.62
KCID,CEDAR RAPIDS,IA,41.88,-91.7
KCIN,CARROLL,IA,42.05,-94.78
KCNC,CHARITON,IA,41.03,-93.37
KCSQ,CRESTON,IA,41.02,-94.37
KCWI,CLINTON,IA,41.83,-90.33
KDBQ,DUBUQUE,IA,42.4,-90.7
KDEH,DECORAH,IA,43.28,-91.73
KDNS,DENISON,IA,41.98,-95.38
KDSM,DES MOINES,IA,41.53,-93.65
KDVN,DAVENPORT,IA,41.62,-90.58
KEBS,WEBSTER CITY,IA,42.43,-93.87
KEOK,KEOKUK_MUNI,IA,40.47,-91.43
KEST,ESTHERVILLE,IA,43.4,-94.75
KFFL,FAIRFIELD,IA,41.05,-91.98
KFOD,FT DODGE,IA,42.55,-94.18
KFSW,FORT MADISON,IA,40.67,-91.33
KHNR,HARLAN,IA,41.59,-95.34
KICL,CLARINDA,IA,40.72,-95.03
KIIB,INDEPENDENCE MUNI,IA,42.45,-91.95
KIKV,ANKENY,IA,41.69,-93.57
KIOW,IOWA CITY,IA,41.63,-91.55
KLRJ,LE MARS,IA,42.78,-96.2
KLWD,LAMONI,IA,40.62,-93.93
KMCW,MASON CITY,IA,43.15,-93.33
KMIW,MARSHALLTOWN ARPT,IA,42.11,-92.92
KMPZ,MOUNT PLEASANT MUNI,IA,40.95,-91.51
KMUT,MUSCATINE,IA,41.37,-91.15
KMXO,MONTICELLO_MUNI,IA,42.23,-91.17
KOLZ,OELWEN,IA,42.68,-91.97
KORC,ORANGE CITY,IA,42.98,-96.07
KOTM,OTTUMWA,IA,41.1,-92.45
KOXV,KNOXVILLE,IA,41.3,-93.12
KPEA,PELLA MUNI AP,IA,41.4,-92.95
KRDK,RED_OAK,IA,41.02,-95.27
KSDA,SHENANDOAH_MUNI,IA,40.75,-95.42
KSHL,SHELDON,IA,43.22,-95.83
KSLB,STORM_LAKE,IA,42.6,-95.23
KSPW,SPENCER,IA,43.17,-95.15
KSUX,SIOUX CITY,IA,42.4,-96.38
KTNU,NEWTON_MUNI,IA,41.68,-93.02
KVTI,VINTON VET MEM,IA,42.22,-92.03
KBOI,BOISE,ID,43.57,-116.22
KBYI,BURLEY,ID,42.53,-113.77
KCOE,COEUR D'ALENE,ID,47.77,-116.82
KEUL,CALDWELL,ID,43.63,-116.63
KIDA,IDAHO FALLS,ID,43.52,-112.07
KJER,JEROME,ID,42.73,-114.45
KLLJ,CHALLIS,ID,44.52,-114.22
KLWS,LEWISTON,ID,46.38,-117.02
KMLP,MULLAN PASS,ID,47.45,-115.67
KMUO,MOUNTAIN HOME AFB,ID,43.05,-115.87
KMYL,MCCALL,ID,44.88,-116.1
KP69,ELK CITY,ID,45.82,-115.43
KPIH,POCATELLO,ID,42.92,-112.6
KRXE,REXBURG,ID,43.83,-111.81
KSMN,SALMON,ID,45.12,-113.88
KSNT,STANLEY RANGER STN.,ID,44.17,-114.93
KSUN,HAILEY,ID,43.5,-114.3
KSZT,SANDPOINT AP,ID,48.3,-116.56
KTWF,TWIN FALLS,ID,42.48,-114.48
K1H2,EFFINGHAM CNTY MEM,IL,39.07,-88.53
K3LF,LITCHFIELD MUNI ARP,IL,39.16,-89.67
KAAA,LOGAN CNTY AIRPORT,IL,40.16,-89.33
KAJG,MOUNT CARMEL MUNI,IL,38.61,-87.73
KALN,ALTON,IL,38.88,-90.05
KARR,AURORA,IL,41.77,-88.47
KBLV,SCOTT AFB,IL,38.55,-89.85
KBMI,BLOOMINGTON,IL,40.48,-88.93
KC09,MORRIS MUNI AIRPORT,IL,41.42,-88.42
